full_date,year,quarter,month,month_name,week_of_year,day_of_month,day_name,is_weekend,is_holiday
2017-06-27,2017,Q2,6,June,26,27,Tuesday,False,False
2017-06-28,2017,Q2,6,June,26,28,Wednesday,False,False
2017-06-29,2017,Q2,6,June,26,29,Thursday,False,False
2017-06-30,2017,Q2,6,June,26,30,Friday,False,False
2017-07-01,2017,Q3,7,July,26,1,Saturday,True,False
2017-07-02,2017,Q3,7,July,26,2,Sunday,True,False
2017-07-03,2017,Q3,7,July,27,3,Monday,False,False
2017-07-04,2017,Q3,7,July,27,4,Tuesday,False,False
2017-07-05,2017,Q3,7,July,27,5,Wednesday,False,False
2017-07-06,2017,Q3,7,July,27,6,Thursday,False,False
2017-07-07,2017,Q3,7,July,27,7,Friday,False,False
2017-07-08,2017,Q3,7,July,27,8,Saturday,True,False
2017-07-09,2017,Q3,7,July,27,9,Sunday,True,False
2017-07-10,2017,Q3,7,July,28,10,Monday,False,False
2017-07-11,2017,Q3,7,July,28,11,Tuesday,False,False
2017-07-12,2017,Q3,7,July,28,12,Wednesday,False,False
2017-07-13,2017,Q3,7,July,28,13,Thursday,False,False
2017-07-14,2017,Q3,7,July,28,14,Friday,False,False
2017-07-15,2017,Q3,7,July,28,15,Saturday,True,False
2017-07-16,2017,Q3,7,July,28,16,Sunday,True,False
2017-07-17,2017,Q3,7,July,29,17,Monday,False,False
2017-07-18,2017,Q3,7,July,29,18,Tuesday,False,False
2017-07-19,2017,Q3,7,July,29,19,Wednesday,False,False
2017-07-20,2017,Q3,7,July,29,20,Thursday,False,False
2017-07-21,2017,Q3,7,July,29,21,Friday,False,False
2017-07-22,2017,Q3,7,July,29,22,Saturday,True,False
2017-07-23,2017,Q3,7,July,29,23,Sunday,True,False
2017-07-24,2017,Q3,7,July,30,24,Monday,False,False
2017-07-25,2017,Q3,7,July,30,25,Tuesday,False,False
2017-07-26,2017,Q3,7,July,30,26,Wednesday,False,False
2017-07-27,2017,Q3,7,July,30,27,Thursday,False,False
2017-07-28,2017,Q3,7,July,30,28,Friday,False,False
2017-07-29,2017,Q3,7,July,30,29,Saturday,True,False
2017-07-30,2017,Q3,7,July,30,30,Sunday,True,False
2017-07-31,2017,Q3,7,July,31,31,Monday,False,False
2017-08-01,2017,Q3,8,August,31,1,Tuesday,False,False
2017-08-02,2017,Q3,8,August,31,2,Wednesday,False,False
2017-08-03,2017,Q3,8,August,31,3,Thursday,False,False
2017-08-04,2017,Q3,8,August,31,4,Friday,False,False
2017-08-05,2017,Q3,8,August,31,5,Saturday,True,False
2017-08-06,2017,Q3,8,August,31,6,Sunday,True,False
2017-08-07,2017,Q3,8,August,32,7,Monday,False,False
2017-08-08,2017,Q3,8,August,32,8,Tuesday,False,False
2017-08-09,2017,Q3,8,August,32,9,Wednesday,False,False
2017-08-10,2017,Q3,8,August,32,10,Thursday,False,False
2017-08-11,2017,Q3,8,August,32,11,Friday,False,False
2017-08-12,2017,Q3,8,August,32,12,Saturday,True,False
2017-08-13,2017,Q3,8,August,32,13,Sunday,True,False
2017-08-14,2017,Q3,8,August,33,14,Monday,False,False
2017-08-15,2017,Q3,8,August,33,15,Tuesday,False,False
2017-08-16,2017,Q3,8,August,33,16,Wednesday,False,False
2017-08-17,2017,Q3,8,August,33,17,Thursday,False,False
2017-08-18,2017,Q3,8,August,33,18,Friday,False,False
2017-08-19,2017,Q3,8,August,33,19,Saturday,True,False
2017-08-20,2017,Q3,8,August,33,20,Sunday,True,False
2017-08-21,2017,Q3,8,August,34,21,Monday,False,False
2017-08-22,2017,Q3,8,August,34,22,Tuesday,False,False
2017-08-23,2017,Q3,8,August,34,23,Wednesday,False,False
2017-08-24,2017,Q3,8,August,34,24,Thursday,False,False
2017-08-25,2017,Q3,8,August,34,25,Friday,False,False
2017-08-26,2017,Q3,8,August,34,26,Saturday,True,False
2017-08-27,2017,Q3,8,August,34,27,Sunday,True,False
2017-08-28,2017,Q3,8,August,35,28,Monday,False,False
2017-08-29,2017,Q3,8,August,35,29,Tuesday,False,False
2017-08-30,2017,Q3,8,August,35,30,Wednesday,False,False
2017-08-31,2017,Q3,8,August,35,31,Thursday,False,False
2017-09-01,2017,Q3,9,September,35,1,Friday,False,False
2017-09-02,2017,Q3,9,September,35,2,Saturday,True,False
2017-09-03,2017,Q3,9,September,35,3,Sunday,True,False
2017-09-04,2017,Q3,9,September,36,4,Monday,False,False
2017-09-05,2017,Q3,9,September,36,5,Tuesday,False,False
2017-09-06,2017,Q3,9,September,36,6,Wednesday,False,False
2017-09-07,2017,Q3,9,September,36,7,Thursday,False,False
2017-09-08,2017,Q3,9,September,36,8,Friday,False,False
2017-09-09,2017,Q3,9,September,36,9,Saturday,True,False
2017-09-10,2017,Q3,9,September,36,10,Sunday,True,False
2017-09-11,2017,Q3,9,September,37,11,Monday,False,False
2017-09-12,2017,Q3,9,September,37,12,Tuesday,False,False
2017-09-13,2017,Q3,9,September,37,13,Wednesday,False,False
2017-09-14,2017,Q3,9,September,37,14,Thursday,False,False
2017-09-15,2017,Q3,9,September,37,15,Friday,False,False
2017-09-16,2017,Q3,9,September,37,16,Saturday,True,False
2017-09-17,2017,Q3,9,September,37,17,Sunday,True,False
2017-09-18,2017,Q3,9,September,38,18,Monday,False,False
2017-09-19,2017,Q3,9,September,38,19,Tuesday,False,False
2017-09-20,2017,Q3,9,September,38,20,Wednesday,False,False
2017-09-21,2017,Q3,9,September,38,21,Thursday,False,False
2017-09-22,2017,Q3,9,September,38,22,Friday,False,False
2017-09-23,2017,Q3,9,September,38,23,Saturday,True,False
2017-09-24,2017,Q3,9,September,38,24,Sunday,True,False
2017-09-25,2017,Q3,9,September,39,25,Monday,False,False
2017-09-26,2017,Q3,9,September,39,26,Tuesday,False,False
2017-09-27,2017,Q3,9,September,39,27,Wednesday,False,False
2017-09-28,2017,Q3,9,September,39,28,Thursday,False,False
2017-09-29,2017,Q3,9,September,39,29,Friday,False,False
2017-09-30,2017,Q3,9,September,39,30,Saturday,True,False
2017-10-01,2017,Q4,10,October,39,1,Sunday,True,False
2017-10-02,2017,Q4,10,October,40,2,Monday,False,False
2017-10-03,2017,Q4,10,October,40,3,Tuesday,False,False
2017-10-04,2017,Q4,10,October,40,4,Wednesday,False,False
2017-10-05,2017,Q4,10,October,40,5,Thursday,False,False
2017-10-06,2017,Q4,10,October,40,6,Friday,False,False
2017-10-07,2017,Q4,10,October,40,7,Saturday,True,False
2017-10-08,2017,Q4,10,October,40,8,Sunday,True,False
2017-10-09,2017,Q4,10,October,41,9,Monday,False,False
2017-10-10,2017,Q4,10,October,41,10,Tuesday,False,False
2017-10-11,2017,Q4,10,October,41,11,Wednesday,False,False
2017-10-12,2017,Q4,10,October,41,12,Thursday,False,False
2017-10-13,2017,Q4,10,October,41,13,Friday,False,False
2017-10-14,2017,Q4,10,October,41,14,Saturday,True,False
2017-10-15,2017,Q4,10,October,41,15,Sunday,True,False
2017-10-16,2017,Q4,10,October,42,16,Monday,False,False
2017-10-17,2017,Q4,10,October,42,17,Tuesday,False,False
2017-10-18,2017,Q4,10,October,42,18,Wednesday,False,False
2017-10-19,2017,Q4,10,October,42,19,Thursday,False,False
2017-10-20,2017,Q4,10,October,42,20,Friday,False,False
2017-10-21,2017,Q4,10,October,42,21,Saturday,True,False
2017-10-22,2017,Q4,10,October,42,22,Sunday,True,False
2017-10-23,2017,Q4,10,October,43,23,Monday,False,False
2017-10-24,2017,Q4,10,October,43,24,Tuesday,False,False
2017-10-25,2017,Q4,10,October,43,25,Wednesday,False,False
2017-10-26,2017,Q4,10,October,43,26,Thursday,False,False
2017-10-27,2017,Q4,10,October,43,27,Friday,False,False
2017-10-28,2017,Q4,10,October,43,28,Saturday,True,False
2017-10-29,2017,Q4,10,October,43,29,Sunday,True,False
2017-10-30,2017,Q4,10,October,44,30,Monday,False,False
2017-10-31,2017,Q4,10,October,44,31,Tuesday,False,False
2017-11-01,2017,Q4,11,November,44,1,Wednesday,False,False
2017-11-02,2017,Q4,11,November,44,2,Thursday,False,False
2017-11-03,2017,Q4,11,November,44,3,Friday,False,False
2017-11-04,2017,Q4,11,November,44,4,Saturday,True,False
2017-11-05,2017,Q4,11,November,44,5,Sunday,True,False
2017-11-06,2017,Q4,11,November,45,6,Monday,False,False
2017-11-07,2017,Q4,11,November,45,7,Tuesday,False,False
2017-11-08,2017,Q4,11,November,45,8,Wednesday,False,False
2017-11-09,2017,Q4,11,November,45,9,Thursday,False,False
2017-11-10,2017,Q4,11,November,45,10,Friday,False,False
2017-11-11,2017,Q4,11,November,45,11,Saturday,True,False
2017-11-12,2017,Q4,11,November,45,12,Sunday,True,False
2017-11-13,2017,Q4,11,November,46,13,Monday,False,False
2017-11-14,2017,Q4,11,November,46,14,Tuesday,False,False
2017-11-15,2017,Q4,11,November,46,15,Wednesday,False,False
2017-11-16,2017,Q4,11,November,46,16,Thursday,False,False
2017-11-17,2017,Q4,11,November,46,17,Friday,False,False
2017-11-18,2017,Q4,11,November,46,18,Saturday,True,False
2017-11-19,2017,Q4,11,November,46,19,Sunday,True,False
2017-11-20,2017,Q4,11,November,47,20,Monday,False,False
